problem,method,rotation_error_deg,translation_error,loss,success_rot_le_5deg,trial
rwhe,GNN-CORO,11.410573701617833,0.33913459637330184,0.17402616554444725,0.0,9.0
axbycz,GNN-CORO,6.785100969811069,0.5036951249531155,0.2290422805938072,0.0,9.0
hand_eye,ZNN-SVD,0.5749908517687788,0.011127451125952719,0.0007892351441148602,1.0,10.0
rwhe,ZNN-SVD,0.8180179822126358,0.06409132760213226,0.0007466362846262755,1.0,10.0
axbycz,ZNN-SVD,0.7726085393406753,0.062257493571958006,0.00040767316508125975,1.0,10.0
hand_eye,ZNN-CORO,0.5749908539138031,0.011127451125952741,0.0007892351441137082,1.0,10.0
rwhe,ZNN-CORO,0.8180179837204149,0.06409132760213204,0.0007466362846261527,1.0,10.0
axbycz,ZNN-CORO,0.7726085409370672,0.062257493571958755,0.00040767316508313195,1.0,10.0
hand_eye,GNN-SVD,9.555461793243927,0.17482096334920827,0.02399761109190696,0.0,10.0
rwhe,GNN-SVD,12.899445889035649,0.34691563210742904,0.3671391364152446,0.0,10.0
axbycz,GNN-SVD,11.791143796660885,0.1970961105431411,0.09908187780535879,0.0,10.0
hand_eye,GNN-CORO,9.55546179337222,0.1748209633492125,0.023997611091892166,0.0,10.0
rwhe,GNN-CORO,12.899445889131789,0.34691563210744486,0.36713913641513324,0.0,10.0
axbycz,GNN-CORO,11.791143796764484,0.19709611054315188,0.09908187780528632,0.0,10.0
hand_eye,ZNN-SVD,0.19041746905133067,0.009389338638271493,0.00031885315162793305,1.0,11.0
rwhe,ZNN-SVD,0.6546349978483144,0.01713721124045785,0.0004826079150006641,1.0,11.0
axbycz,ZNN-SVD,0.405381821713677,0.014372445799506429,0.00036042654644888116,1.0,11.0
hand_eye,ZNN-CORO,0.1904174755169353,0.00938933863827151,0.00031885315162887993,1.0,11.0
rwhe,ZNN-CORO,0.6546349997279262,0.017137211240457854,0.00048260791499983206,1.0,11.0
axbycz,ZNN-CORO,0.4053818247543411,0.014372445799506275,0.00036042654645051207,1.0,11.0
hand_eye,GNN-SVD,7.754087280059763,0.2608662081520996,0.017218047655553115,0.0,11.0
rwhe,GNN-SVD,12.627151455212907,0.3076742667655078,0.09952592795978739,0.0,11.0
axbycz,GNN-SVD,10.170371638592929,0.551365340728433,0.5159386591996091,0.0,11.0
hand_eye,GNN-CORO,7.754087280218082,0.26086620815210243,0.017218047655543214,0.0,11.0
rwhe,GNN-CORO,12.62715145530963,0.3076742667655174,0.09952592795974101,0.0,11.0
axbycz,GNN-CORO,10.1703716387139,0.5513653407284783,0.5159386591993389,0.0,11.0
hand_eye,ZNN-SVD,0.3269440742752407,0.0045817305848143705,0.0004183758497943296,1.0,12.0
rwhe,ZNN-SVD,0.30258623192524314,0.006789129668719173,0.00021324608383133383,1.0,12.0
axbycz,ZNN-SVD,0.5015380464770522,0.017819358353601218,0.0006440932193640842,1.0,12.0
hand_eye,ZNN-CORO,0.326944078040926,0.0045817305848143645,0.00041837584979451245,1.0,12.0
rwhe,ZNN-CORO,0.30258623598683154,0.006789129668719184,0.00021324608383006555,1.0,12.0
axbycz,ZNN-CORO,0.5015380489333096,0.01781935835359861,0.0006440932193603978,1.0,12.0
hand_eye,GNN-SVD,6.303997412954351,0.051824159993018634,0.010790366262804553,0.0,12.0
rwhe,GNN-SVD,12.97028717359853,0.29763391234445963,0.24715973358804003,0.0,12.0
axbycz,GNN-SVD,10.649735217011004,0.3945280151748305,0.278177565692324,0.0,12.0
hand_eye,GNN-CORO,6.303997413149001,0.05182415999302162,0.010790366262799759,0.0,12.0
rwhe,GNN-CORO,12.97028717369574,0.2976339123444922,0.24715973358792795,0.0,12.0
axbycz,GNN-CORO,10.64973521712411,0.39452801517484376,0.278177565692158,0.0,12.0
hand_eye,ZNN-SVD,0.3789683148267894,0.01815682469823321,0.00044887188957606845,1.0,13.0
rwhe,ZNN-SVD,0.5591241378187457,0.01948420925450459,0.0002653245093408823,1.0,13.0
axbycz,ZNN-SVD,0.9915339691922667,0.04349194126981208,0.00046938159166805,1.0,13.0
hand_eye,ZNN-CORO,0.3789683180716858,0.01815682469823311,0.00044887188957483994,1.0,13.0
rwhe,ZNN-CORO,0.5591241400194242,0.019484209254504562,0.0002653245093406415,1.0,13.0
axbycz,ZNN-CORO,0.9915339704340026,0.04349194126981336,0.00046938159166657787,1.0,13.0
hand_eye,GNN-SVD,6.173052164369959,0.5425517681142479,0.06408771484081256,0.0,13.0
rwhe,GNN-SVD,7.517796288603409,0.28666794246765936,0.16315375335119306,0.0,13.0
axbycz,GNN-SVD,12.540212324291584,0.38639602818157426,0.2253394930281036,0.0,13.0
hand_eye,GNN-CORO,6.173052164568958,0.5425517681142552,0.06408771484077545,0.0,13.0
rwhe,GNN-CORO,7.517796288766285,0.2866679424676847,0.1631537533511436,0.0,13.0
axbycz,GNN-CORO,12.540212324388966,0.3863960281815834,0.22533949302803102,0.0,13.0
hand_eye,ZNN-SVD,0.5146040985968292,0.008377785487871808,0.0006012212623999212,1.0,14.0
rwhe,ZNN-SVD,0.56516181258606,0.02355793745724916,0.00029578144008383136,1.0,14.0
axbycz,ZNN-SVD,0.979114784521169,0.030590283720929423,0.0006671856174790613,1.0,14.0
hand_eye,ZNN-CORO,0.5146041009878894,0.008377785487871754,0.0006012212623987607,1.0,14.0
rwhe,ZNN-CORO,0.5651618147619394,0.02355793745724916,0.0002957814400863309,1.0,14.0
axbycz,ZNN-CORO,0.97911478577642,0.03059028372093045,0.00066718561748108,1.0,14.0
hand_eye,GNN-SVD,8.29672858082877,0.46530391964836415,0.02864016597462968,0.0,14.0
rwhe,GNN-SVD,13.294401172249422,0.3214120829474877,0.2544197385672468,0.0,14.0
axbycz,GNN-SVD,15.030343030488567,0.3768391737050817,0.16212983349659194,0.0,14.0
hand_eye,GNN-CORO,8.296728580976621,0.4653039196483705,0.028640165974600205,0.0,14.0
rwhe,GNN-CORO,13.294401172343198,0.3214120829475091,0.25441973856715766,0.0,14.0
axbycz,GNN-CORO,15.030343030569705,0.3768391737050955,0.16212983349652027,0.0,14.0
hand_eye,ZNN-SVD,0.4028846384482618,0.004488849852293746,0.00037837726556713924,1.0,15.0
rwhe,ZNN-SVD,0.38147835132754704,0.014694187610844569,0.00044926713650468613,1.0,15.0
axbycz,ZNN-SVD,1.2572292710838429,0.04257389632859537,0.00047993025715782893,1.0,15.0
hand_eye,ZNN-CORO,0.4028846415041538,0.004488849852293746,0.0003783772655659768,1.0,15.0
