trial,method,rotation_error_x_deg,translation_error_x,worst_rotation_error_deg,worst_translation_error,final_loss,success_rot_le_5deg
60.0,ZNN-CORO,0.23228644294405174,0.004700958780176695,0.23228644294405174,0.004700958780176695,0.00019952934789401096,1.0
60.0,GNN-CORO,10.163997672876613,0.5037646085154702,10.163997672876613,0.5037646085154702,0.08512650911683024,0.0
61.0,ZNN-CORO,0.4393862750685986,0.006997680284745928,0.4393862750685986,0.006997680284745928,0.0003581103690368308,1.0
61.0,GNN-CORO,3.754291551800898,0.19704146147206952,3.754291551800898,0.19704146147206952,0.014220583848970013,1.0
62.0,ZNN-CORO,0.3941391104197348,0.015718726305576202,0.3941391104197348,0.015718726305576202,0.00034252133217055873,1.0
62.0,GNN-CORO,2.898312517764555,0.12283773046549105,2.898312517764555,0.12283773046549105,0.004031248313501602,1.0
63.0,ZNN-CORO,0.5569899921268008,0.01327341695212163,0.5569899921268008,0.01327341695212163,0.0005278660978710806,1.0
63.0,GNN-CORO,3.096951447880083,0.22657429462375323,3.096951447880083,0.22657429462375323,0.012278262207549634,1.0
64.0,ZNN-CORO,0.3728575435943126,0.010264233290954229,0.3728575435943126,0.010264233290954229,0.0006970627072548979,1.0
64.0,GNN-CORO,10.957565254051216,0.19976613818405484,10.957565254051216,0.19976613818405484,0.03788558574980893,0.0
65.0,ZNN-CORO,0.820357174872471,0.016393706037365268,0.820357174872471,0.016393706037365268,0.00039262378036562513,1.0
65.0,GNN-CORO,17.20784446898022,0.26826747444149046,17.20784446898022,0.26826747444149046,0.05572779695896901,0.0
66.0,ZNN-CORO,0.2960975542330483,0.004549418926263869,0.2960975542330483,0.004549418926263869,0.0003651141261069843,1.0
66.0,GNN-CORO,16.882882188205443,0.12207793431475968,16.882882188205443,0.12207793431475968,0.10588383137041231,0.0
67.0,ZNN-CORO,0.27756205429191877,0.013209690928148657,0.27756205429191877,0.013209690928148657,0.00030414864574614613,1.0
67.0,GNN-CORO,16.177044659577316,0.3239493695997295,16.177044659577316,0.3239493695997295,0.07145117179429401,0.0
68.0,ZNN-CORO,0.2410027260874537,0.006899133261303533,0.2410027260874537,0.006899133261303533,0.0001290510194739901,1.0
68.0,GNN-CORO,2.1689004662709213,0.12022756137277157,2.1689004662709213,0.12022756137277157,0.007608193783397055,1.0
69.0,ZNN-CORO,0.126803658965082,0.003766616198856665,0.126803658965082,0.003766616198856665,0.0003376851772924584,1.0
69.0,GNN-CORO,10.767162849669711,0.36650791764717305,10.767162849669711,0.36650791764717305,0.11540900640690331,0.0
70.0,ZNN-CORO,0.6824670130942537,0.007573328957368612,0.6824670130942537,0.007573328957368612,0.00028163726603580027,1.0
70.0,GNN-CORO,11.388504567727626,0.24225406083245435,11.388504567727626,0.24225406083245435,0.02316397897781837,0.0
71.0,ZNN-CORO,0.7213548528673548,0.013223333542775047,0.7213548528673548,0.013223333542775047,0.0002900534846296449,1.0
71.0,GNN-CORO,16.98609688593147,0.2710618629791037,16.98609688593147,0.2710618629791037,0.10811357179343484,0.0
72.0,ZNN-CORO,0.48486861458602415,0.030022041098677503,0.48486861458602415,0.030022041098677503,0.00021847003511795562,1.0
72.0,GNN-CORO,8.979143893838812,0.2780804868244113,8.979143893838812,0.2780804868244113,0.03963411957495357,0.0
73.0,ZNN-CORO,0.38195700132185834,0.01690470034788142,0.38195700132185834,0.01690470034788142,0.0004048498594475729,1.0
73.0,GNN-CORO,16.610911236682757,0.3330890742118586,16.610911236682757,0.3330890742118586,0.06722823124312372,0.0
74.0,ZNN-CORO,0.3246457967562462,0.007946519978069534,0.3246457967562462,0.007946519978069534,0.0002773830329929732,1.0
74.0,GNN-CORO,13.317939564990727,0.2722405347085521,13.317939564990727,0.2722405347085521,0.05992462804261459,0.0
75.0,ZNN-CORO,0.7019594106130305,0.013781289664885286,0.7019594106130305,0.013781289664885286,0.0004002203961229167,1.0
75.0,GNN-CORO,13.3940424379758,0.25030566818650374,13.3940424379758,0.25030566818650374,0.03399359761048777,0.0
76.0,ZNN-CORO,0.7130184731189941,0.016902432938449605,0.7130184731189941,0.016902432938449605,0.00041434602933530465,1.0
76.0,GNN-CORO,13.352023282555049,0.2993008826717727,13.352023282555049,0.2993008826717727,0.04683071135243394,0.0
77.0,ZNN-CORO,0.34039927465010655,0.007773452214283216,0.34039927465010655,0.007773452214283216,0.0002996350286112251,1.0
77.0,GNN-CORO,4.109660776044497,0.25448868628682403,4.109660776044497,0.25448868628682403,0.034437067095280695,1.0
78.0,ZNN-CORO,0.16905028172156286,0.012068561892378694,0.16905028172156286,0.012068561892378694,0.0003490579401119371,1.0
78.0,GNN-CORO,2.165983937150896,0.17947377009811635,2.165983937150896,0.17947377009811635,0.012904068820609215,1.0
79.0,ZNN-CORO,0.17994789602623823,0.02939723171680517,0.17994789602623823,0.02939723171680517,0.00024406623675818915,1.0
79.0,GNN-CORO,17.84188187183314,0.2854419562787654,17.84188187183314,0.2854419562787654,0.056590244402751344,0.0
80.0,ZNN-CORO,0.4289326740583987,0.006645138041811985,0.4289326740583987,0.006645138041811985,0.00031108547398479874,1.0
80.0,GNN-CORO,12.65571547160895,0.08753887029214215,12.65571547160895,0.08753887029214215,0.06644618477040269,0.0
81.0,ZNN-CORO,0.4618384564479078,0.005076214008110915,0.4618384564479078,0.005076214008110915,0.00038592830339272756,1.0
81.0,GNN-CORO,9.411092481183022,0.5086563449445253,9.411092481183022,0.5086563449445253,0.09238318552617568,0.0
82.0,ZNN-CORO,0.2416907558403546,0.013645358603949616,0.2416907558403546,0.013645358603949616,0.00030507836313339284,1.0
82.0,GNN-CORO,8.802400132672034,0.2994207726349868,8.802400132672034,0.2994207726349868,0.027253667141577648,0.0
