trial,method,rotation_error_x_deg,translation_error_x,rotation_error_y_deg,translation_error_y,rotation_error_z_deg,translation_error_z,worst_rotation_error_deg,worst_translation_error,final_loss,success_rot_le_5deg
23.0,ZNN-CORO,0.4939581948372683,0.04267334185829132,0.19207994826839248,0.030572144281890427,0.2675063640949165,0.015094557249276061,0.4939581948372683,0.04267334185829132,0.0006294936504523676,1.0
23.0,GNN-CORO,5.812790369750674,0.32741887418120624,3.968627281761148,0.33708075897748835,10.543444820945442,0.24188609703317215,10.543444820945442,0.33708075897748835,0.2797811102254252,0.0
24.0,ZNN-CORO,1.930218548061274,0.02659618417859819,0.9032281035517624,0.023292671777274745,1.2151089697038562,0.024023672535166605,1.930218548061274,0.02659618417859819,0.0006420157686217749,1.0
24.0,GNN-CORO,15.509633909449537,0.24976150308805184,11.898718217920944,0.4018898983906125,9.889093583814793,0.1176484447211707,15.509633909449537,0.4018898983906125,0.2725733331461999,0.0
25.0,ZNN-CORO,1.0320239299551104,0.04283880320363737,0.48298561966934983,0.017460171055191067,1.4588051055243798,0.028723286532890576,1.4588051055243798,0.04283880320363737,0.001044063221717427,1.0
25.0,GNN-CORO,15.46346392290782,0.2263248082240754,2.389040453093205,0.16958699022009396,4.937378695493023,0.2819275791325359,15.46346392290782,0.2819275791325359,0.18003577221058395,0.0
26.0,ZNN-CORO,0.9604686712239273,0.03304526763560691,0.4752175980235163,0.03649083884508691,0.5285239939778246,0.016197241781016322,0.9604686712239273,0.03649083884508691,0.0008007625982720207,1.0
26.0,GNN-CORO,2.6086240649168535,0.266744915271807,5.4019985637668135,0.28383943592852945,6.668086080593881,0.1648319050628638,6.668086080593881,0.28383943592852945,0.15019582176050622,0.0
27.0,ZNN-CORO,0.5546062426790691,0.011662455199031242,0.5654238132051437,0.00791194223270477,0.6981640409340881,0.017950456806159847,0.6981640409340881,0.017950456806159847,0.0004907194598992881,1.0
27.0,GNN-CORO,16.201225534187767,0.36780634659611067,5.45169808610865,0.1942535326777571,10.612501158246681,0.20142071649651305,16.201225534187767,0.36780634659611067,0.5321435437536214,0.0
28.0,ZNN-CORO,0.7078183715574381,0.024521378106329313,0.6259960522463934,0.014627418369643111,0.6510473694137469,0.028661914368214123,0.7078183715574381,0.028661914368214123,0.0007071905519820343,1.0
28.0,GNN-CORO,12.246893191337119,0.19193963448803003,5.90333479142028,0.3597123202862425,6.4902986318879545,0.4384856121065061,12.246893191337119,0.4384856121065061,0.41251476089244943,0.0
29.0,ZNN-CORO,0.4384530558197494,0.033184739891340964,0.47880989563886206,0.0241103985951907,0.2938578437185378,0.018255363515110274,0.47880989563886206,0.033184739891340964,0.00058991778490836,1.0
29.0,GNN-CORO,14.278414112490548,0.12297819238075605,4.6745436859021,0.20988530079070059,3.297598046908924,0.24585423781984433,14.278414112490548,0.24585423781984433,0.17138285647770518,0.0
30.0,ZNN-CORO,0.8570890654931269,0.00902794133281158,0.39284493013994914,0.021471285825564315,0.9198073916305727,0.013542312757641358,0.9198073916305727,0.021471285825564315,0.000489665791509271,1.0
30.0,GNN-CORO,17.506771812981434,0.30583369333428945,13.22428551069701,0.2424229468687174,13.908672420042263,0.12968026602520952,17.506771812981434,0.30583369333428945,0.3077262698481721,0.0
31.0,ZNN-CORO,0.8849981702043636,0.035393690697000255,0.28333725212493105,0.014418107412902082,0.6405063059824335,0.02563429281625684,0.8849981702043636,0.035393690697000255,0.0004967633417345552,1.0
31.0,GNN-CORO,16.695783208809534,0.34089881254370974,1.1623811563391528,0.11948503974557989,10.990452318915523,0.25293313391219624,16.695783208809534,0.34089881254370974,0.13876225472603265,0.0
32.0,ZNN-CORO,0.494948779760597,0.06208326542921925,0.7068056320857812,0.04223985942312188,0.40314916036207954,0.031825698818704166,0.7068056320857812,0.06208326542921925,0.0003607941102546809,1.0
32.0,GNN-CORO,2.3366963120414797,0.2461971603943961,14.335526657552844,0.473668269829421,5.958984065746122,0.28336686157410773,14.335526657552844,0.473668269829421,0.32274018782538205,0.0
33.0,ZNN-CORO,0.9912856436512001,0.02079486823158051,0.8696201461666849,0.006902728460160077,0.9904276509298414,0.011638930330455289,0.9912856436512001,0.02079486823158051,0.0008162850599060328,1.0
