trial,method,rotation_error_x_deg,translation_error_x,rotation_error_y_deg,translation_error_y,worst_rotation_error_deg,worst_translation_error,final_loss,success_rot_le_5deg
32.0,GNN-CORO,11.696094488274719,0.19573019801289607,3.9264372451964538,0.2470590977034941,11.696094488274719,0.2470590977034941,0.10469632877378883,0.0
33.0,ZNN-CORO,1.1662917808913988,0.03976716460682195,1.0617379272361307,0.055747571893772094,1.1662917808913988,0.055747571893772094,0.0005395565832625003,1.0
33.0,GNN-CORO,3.5793677502298498,0.1251515754900467,4.50647472826235,0.1690296202427549,4.50647472826235,0.1690296202427549,0.020664892961058876,1.0
34.0,ZNN-CORO,0.7082200860069033,0.015219704486034035,0.5970599836273798,0.030027382116232227,0.7082200860069033,0.030027382116232227,0.0004888952054160034,1.0
34.0,GNN-CORO,5.34141604687653,0.33880352654298324,14.859783376075988,0.044326502412509565,14.859783376075988,0.33880352654298324,0.21742884337043678,0.0
35.0,ZNN-CORO,0.26797020014651235,0.01837344324240707,0.23403991735572036,0.019286538840882703,0.26797020014651235,0.019286538840882703,0.0004389687547746782,1.0
35.0,GNN-CORO,2.799110765777487,0.3214358981821649,11.795400111373644,0.16383686822816965,11.795400111373644,0.3214358981821649,0.11100499282939447,0.0
36.0,ZNN-CORO,0.22816154971794755,0.021725968594186212,0.2428372413735107,0.019432813439189216,0.2428372413735107,0.021725968594186212,0.0003481674876211458,1.0
36.0,GNN-CORO,8.269729566515583,0.1483253161693625,10.327638060645171,0.2638921658826575,10.327638060645171,0.2638921658826575,0.07699878019314944,0.0
37.0,ZNN-CORO,0.4300857940984864,0.0237616341145255,0.3857546278308242,0.02256083471062848,0.4300857940984864,0.0237616341145255,0.00034439541675979833,1.0
37.0,GNN-CORO,5.733142519160548,0.2295403191425693,2.462325361525799,0.13946231772704032,5.733142519160548,0.2295403191425693,0.12247811436663736,0.0
38.0,ZNN-CORO,0.2591366703430476,0.011725102038052807,0.25420018384287535,0.012212752858154643,0.2591366703430476,0.012212752858154643,0.0003448360585263594,1.0
38.0,GNN-CORO,13.249266312013628,0.17460185378406923,6.434740772226861,0.27716104117541857,13.249266312013628,0.27716104117541857,0.182885299917687,0.0
39.0,ZNN-CORO,0.6014764588104171,0.024912756023783816,0.5161973517829437,0.01723846245970007,0.6014764588104171,0.024912756023783816,0.00027891110146476456,1.0
39.0,GNN-CORO,11.222587747334988,0.23861327009622796,3.0713510676843736,0.16449856274020275,11.222587747334988,0.23861327009622796,0.07516869710296203,0.0
40.0,ZNN-CORO,0.3754884534426286,0.011380989181351822,0.16037935635329856,0.006376816637629299,0.3754884534426286,0.011380989181351822,0.0004563829049239691,1.0
40.0,GNN-CORO,5.7887198122161,0.19303219105902672,13.308016438542317,0.34409248012088806,13.308016438542317,0.34409248012088806,0.13690575596912247,0.0
41.0,ZNN-CORO,1.0867002085917474,0.022477269655766418,0.8205879983297754,0.015927493434519813,1.0867002085917474,0.022477269655766418,0.0002403468392260371,1.0
41.0,GNN-CORO,12.95531837712273,0.3302774986379447,11.956188244287528,0.2213015246735545,12.95531837712273,0.3302774986379447,0.17553208287883018,0.0
42.0,ZNN-CORO,0.31820758297111057,0.01670225133808442,0.3568990903279294,0.016391035344161562,0.3568990903279294,0.01670225133808442,0.0007062555317735073,1.0
42.0,GNN-CORO,14.610158096295427,0.2593541836937938,12.174764160565863,0.4007705741778705,14.610158096295427,0.4007705741778705,0.1538935776728524,0.0
43.0,ZNN-CORO,0.2484691481243192,0.014096311361616681,0.1366568472961393,0.011241076400518052,0.2484691481243192,0.014096311361616681,0.0005742830952164194,1.0
43.0,GNN-CORO,9.517065435826762,0.2938223047888326,5.022315340840047,0.18687009873674765,9.517065435826762,0.2938223047888326,0.1315276538790633,0.0
44.0,ZNN-CORO,0.9756789226393319,0.010870770869620792,0.825991629570507,0.012201491124699508,0.9756789226393319,0.012201491124699508,0.00035551190956016864,1.0
44.0,GNN-CORO,13.980755666927879,0.13624986420900653,14.659146490502273,0.22215918597421677,14.659146490502273,0.22215918597421677,0.09052096245918743,0.0
45.0,ZNN-CORO,0.9606176323521455,0.024587473090347638,1.1533385114493966,0.03401739869632089,1.1533385114493966,0.03401739869632089,0.0003938445658210547,1.0
45.0,GNN-CORO,9.171933278237956,0.22823364023504497,13.564406653501532,0.29693492087767437,13.564406653501532,0.29693492087767437,0.3622619982333564,0.0
46.0,ZNN-CORO,0.21459491679796236,0.010387709094438891,0.18051515083586994,0.00606257010804594,0.21459491679796236,0.010387709094438891,0.0003393090240267933,1.0
46.0,GNN-CORO,0.44672818541478065,0.08608966281245133,1.8402977162162728,0.08174657776616398,1.8402977162162728,0.08608966281245133,0.01761098194813799,1.0
47.0,ZNN-CORO,0.6028190830803437,0.014594413666865246,0.5706991336725488,0.015596888980278629,0.6028190830803437,0.015596888980278629,0.0005991361218644497,1.0
47.0,GNN-CORO,10.701220887330388,0.42184560835020357,7.451864001163454,0.20250522218073128,10.701220887330388,0.42184560835020357,0.2512529098952017,0.0
48.0,ZNN-CORO,0.5584444895682088,0.01695049680639198,0.568355685234385,0.01578132963243579,0.568355685234385,0.01695049680639198,0.00023482283019814304,1.0
48.0,GNN-CORO,12.936206828370914,0.19744337099257336,9.321494674345614,0.13771797465002697,12.936206828370914,0.19744337099257336,0.17813503942793577,0.0
